Node ID,Discipline
2691,Computer Science
2693,Computer Science
2695,Computer Science
2697,Computer Science
2700,Biology
2703,Computer Science
2707,Computer Science
2709,Computer Science
2710,Computer Science
2716,Biology
2718,Computer Science
2723,Computer Science
2724,Biology
2725,Biology
2726,Computer Science
2735,Computer Science
2741,Biology
2747,Computer Science
2749,Computer Science
2756,Biology
2763,Computer Science
2765,Biology
2769,Biology
2773,Computer Science
2774,Biology
2777,Computer Science
2779,Computer Science
2786,Biology
2788,Computer Science
2791,Biology
2794,Biology
2798,Biology
2800,Biology
2806,Biology
2810,Computer Science
2812,Biology
2813,Biology
2816,Biology
2817,Biology
2819,Biology
2823,Biology
2826,Biology
2829,Computer Science
2834,Computer Science
2837,Computer Science
2841,Biology
2846,Computer Science
2847,Biology
2849,Biology
2854,Biology
2859,Computer Science
2860,Computer Science
2865,Biology
2869,Biology
2871,Biology
2873,Biology
2880,Biology
2882,Biology
2885,Biology
2892,Computer Science
2893,Computer Science
2894,Biology
2895,Biology
2896,Computer Science
2897,Computer Science
2901,Biology
2904,Biology
2906,Computer Science
2908,Computer Science
2911,Computer Science
2916,Computer Science
2921,Computer Science
2924,Biology
2925,Biology
2926,Computer Science
2927,Computer Science
2930,Computer Science
2944,Computer Science
2950,Computer Science
2953,Biology
2955,Biology
2961,Biology
2962,Biology
2964,Biology
2966,Computer Science
2972,Computer Science
2981,Biology
2984,Computer Science
2990,Biology
2997,Computer Science
2999,Biology
3000,Biology
3002,Biology
3005,Computer Science
3007,Biology
3011,Computer Science
3012,Biology
3013,Biology
3014,Computer Science
3016,Computer Science
3020,Biology
3023,Computer Science
3032,Biology
3033,Biology
3041,Computer Science
3042,Computer Science
3043,Computer Science
3045,Computer Science
3046,Biology
3047,Computer Science
3062,Biology
3065,Biology
3066,Computer Science
3071,Biology
3077,Biology
3081,Computer Science
3084,Computer Science
3086,Computer Science
3089,Computer Science
3093,Computer Science
3095,Computer Science
3096,Biology
3098,Biology
3103,Computer Science
3105,Biology
3107,Computer Science
3109,Biology
3110,Computer Science
3117,Biology
3118,Biology
3119,Computer Science
3120,Computer Science
3122,Computer Science
3123,Computer Science
3124,Computer Science
3125,Computer Science
3127,Computer Science
3130,Computer Science
3131,Biology
3132,Biology
3133,Computer Science
3134,Computer Science
3137,Computer Science
3141,Biology
3151,Biology
3158,Computer Science
3160,Computer Science
3171,Computer Science
3172,Biology
3175,Biology
3181,Biology
3182,Biology
3183,Biology
3184,Computer Science
3187,Computer Science
3194,Biology
3195,Biology
3196,Computer Science
3198,Biology
3199,Biology
3200,Computer Science
3209,Computer Science
3213,Biology
3214,Computer Science
3215,Computer Science
3216,Computer Science
3217,Biology
3230,Computer Science
3231,Biology
3236,Computer Science
3239,Computer Science
3245,Computer Science
3253,Biology
3259,Biology
3263,Computer Science
3269,Computer Science
3273,Biology
3274,Computer Science
3279,Computer Science
3282,Biology
3284,Computer Science
3288,Computer Science
3291,Computer Science
3294,Biology
3298,Biology
3303,Biology
3305,Biology
3315,Computer Science
3317,Biology
3322,Computer Science
3326,Biology
3328,Computer Science
3334,Computer Science
3336,Computer Science
3343,Computer Science
3344,Computer Science
3349,Computer Science
3358,Biology
3359,Biology
3363,Computer Science
3364,Computer Science
3370,Computer Science
3371,Computer Science
3376,Biology
3377,Computer Science
3379,Biology
3384,Biology
3386,Biology
3388,Biology
3394,Biology
3399,Biology
3401,Computer Science
3404,Computer Science
3405,Computer Science
3409,Biology
3411,Computer Science
3414,Computer Science
3416,Computer Science
3425,Computer Science
3432,Biology
3435,Computer Science
3447,Computer Science
3457,Computer Science
3462,Biology
3463,Biology
3464,Computer Science
3465,Computer Science
3466,Biology
3467,Biology
3474,Biology
3475,Computer Science
3476,Computer Science
3480,Computer Science
3482,Computer Science
3490,Biology
3493,Computer Science
3495,Computer Science
3499,Computer Science
3502,Computer Science
3507,Biology
3509,Computer Science
3511,Biology
3517,Biology
3521,Biology
3524,Biology
3527,Biology
3533,Computer Science
3535,Computer Science
3539,Computer Science
3543,Computer Science
3546,Biology
3547,Computer Science
3552,Biology
3554,Computer Science
3557,Biology
3558,Biology
3563,Biology
3572,Computer Science
3575,Biology
3581,Computer Science
3587,Computer Science
3588,Biology
3591,Computer Science
3594,Computer Science
3596,Computer Science
3599,Computer Science
3601,Computer Science
3606,Computer Science
3609,Computer Science
3611,Computer Science
3613,Computer Science
3620,Computer Science
3626,Computer Science
3629,Computer Science
3630,Computer Science
3631,Biology
3633,Computer Science
3635,Biology
3640,Biology
3653,Biology
3656,Biology
3663,Biology
3666,Biology
3668,Computer Science
3669,Computer Science
3670,Biology
3682,Computer Science
3686,Biology
3687,Computer Science
3689,Biology
3690,Biology
3704,Biology
3709,Computer Science
3712,Computer Science
3715,Biology
3717,Computer Science
3720,Computer Science
3724,Biology
3728,Computer Science
3730,Biology
3732,Computer Science
3734,Computer Science
3735,Computer Science
3742,Computer Science
3747,Biology
3750,Biology
3753,Computer Science
3763,Computer Science
3766,Computer Science
3773,Biology
3774,Computer Science
3775,Computer Science
3781,Biology
3782,Computer Science
3783,Computer Science
3786,Computer Science
3787,Computer Science
3789,Biology
3792,Computer Science
3794,Computer Science
3795,Computer Science
3803,Computer Science
3805,Computer Science
3807,Computer Science
3814,Computer Science
3815,Computer Science
3816,Biology
3817,Biology
3822,Biology
3823,Computer Science
3824,Biology
3825,Computer Science
3826,Computer Science
3828,Computer Science
3830,Biology
3832,Computer Science
3840,Biology
3851,Biology
3853,Computer Science
3854,Computer Science
3858,Computer Science
